month,n_days,mae,rmse,r2
3,12,668.4315595731317,1377.8138009619765,0.8710073678281026
4,30,399.73800388628763,673.2465173974908,0.8033502216555346
5,31,392.2269397591182,689.3289247723231,0.7646336786664634
6,30,487.5247198853529,800.9212907231802,0.7380735729894542
7,31,444.4779592921788,658.1965924631224,0.777782610133862
8,31,509.6113890897192,1009.4403042860015,0.8466208702320697
9,30,850.474717525714,1170.128570198896,0.8080728979341076
10,31,763.5492841183639,1267.7724549438885,0.8404668708781924
11,30,1230.299979449804,1625.1904937262375,0.7178659683450186
12,30,953.0431397435226,1434.804463876889,0.6640719459095538
